1. first: 2, last: 1 -> 21
120. first: 3, last: 8 -> 38
121. first: 8, last: 9 -> 89
122. first: 5, last: 2 -> 52
123. first: 4, last: 4 -> 44
124. first: 6, last: 3 -> 63
125. first: 9, last: 1 -> 91
126. first: 8, last: 8 -> 88
127. first: 2, last: 2 -> 22
128. first: 3, last: 3 -> 33
129. first: 3, last: 3 -> 33
130. first: 9, last: 1 -> 91
131. first: 9, last: 9 -> 99
132. first: 3, last: 3 -> 33
133. first: 8, last: 8 -> 88
134. first: 1, last: 1 -> 11
135. first: 4, last: 4 -> 44
136. first: 7, last: 7 -> 77
137. first: 6, last: 2 -> 62
138. first: 2, last: 2 -> 22
139. first: 2, last: 2 -> 22
140. first: 3, last: 1 -> 31
141. first: 7, last: 7 -> 77
142. first: 6, last: 9 -> 69
143. first: 7, last: 7 -> 77
144. first: 4, last: 5 -> 45
145. first: 1, last: 4 -> 14
146. first: 5, last: 1 -> 51
147. first: 6, last: 5 -> 65
148. first: 2, last: 7 -> 27
149. first: 7, last: 2 -> 72
150. first: 4, last: 4 -> 44
151. first: 7, last: 6 -> 76
152. first: 4, last: 5 -> 45
153. first: 4, last: 9 -> 49
154. first: 9, last: 9 -> 99
155. first: 7, last: 1 -> 71
156. first: 9, last: 9 -> 99
157. first: 2, last: 2 -> 22
158. first: 3, last: 3 -> 33
159. first: 1, last: 5 -> 15
160. first: 6, last: 2 -> 62
161. first: 3, last: 3 -> 33
162. first: 9, last: 9 -> 99
163. first: 7, last: 7 -> 77
164. first: 4, last: 4 -> 44
165. first: 3, last: 1 -> 31
166. first: 2, last: 4 -> 24
167. first: 6, last: 6 -> 66
168. first: 3, last: 5 -> 35
169. first: 8, last: 8 -> 88
170. first: 5, last: 6 -> 56
171. first: 2, last: 2 -> 22
172. first: 2, last: 5 -> 25
173. first: 9, last: 5 -> 95
174. first: 8, last: 8 -> 88
175. first: 6, last: 8 -> 68
176. first: 5, last: 5 -> 55
177. first: 8, last: 8 -> 88
178. first: 1, last: 1 -> 11
179. first: 6, last: 8 -> 68
180. first: 5, last: 4 -> 54
181. first: 7, last: 7 -> 77
182. first: 4, last: 1 -> 41
183. first: 6, last: 3 -> 63
184. first: 8, last: 8 -> 88
185. first: 6, last: 6 -> 66
186. first: 6, last: 6 -> 66
187. first: 9, last: 5 -> 95
188. first: 3, last: 6 -> 36
189. first: 2, last: 8 -> 28
190. first: 9, last: 9 -> 99
191. first: 2, last: 2 -> 22
192. first: 5, last: 5 -> 55
193. first: 3, last: 7 -> 37
194. first: 2, last: 2 -> 22
195. first: 9, last: 7 -> 97
196. first: 3, last: 4 -> 34
197. first: 1, last: 9 -> 19
198. first: 4, last: 5 -> 45
199. first: 5, last: 2 -> 52
200. first: 6, last: 3 -> 63
201. first: 6, last: 6 -> 66
202. first: 3, last: 3 -> 33
203. first: 6, last: 6 -> 66
204. first: 7, last: 7 -> 77
205. first: 9, last: 7 -> 97
206. first: 9, last: 9 -> 99
207. first: 8, last: 4 -> 84
208. first: 5, last: 5 -> 55
209. first: 7, last: 7 -> 77
210. first: 9, last: 9 -> 99
211. first: 1, last: 6 -> 16
212. first: 1, last: 7 -> 17
213. first: 3, last: 3 -> 33
214. first: 8, last: 4 -> 84
215. first: 2, last: 2 -> 22
216. first: 4, last: 8 -> 48
217. first: 4, last: 3 -> 43
218. first: 3, last: 8 -> 38
219. first: 8, last: 8 -> 88
220. first: 6, last: 8 -> 68
221. first: 9, last: 7 -> 97
222. first: 7, last: 7 -> 77
223. first: 9, last: 2 -> 92
224. first: 2, last: 2 -> 22
225. first: 5, last: 3 -> 53
226. first: 3, last: 9 -> 39
227. first: 6, last: 6 -> 66
228. first: 3, last: 3 -> 33
229. first: 1, last: 9 -> 19
230. first: 3, last: 5 -> 35
231. first: 9, last: 9 -> 99
232. first: 4, last: 4 -> 44
233. first: 1, last: 8 -> 18
234. first: 7, last: 4 -> 74
235. first: 3, last: 3 -> 33
236. first: 1, last: 9 -> 19
237. first: 7, last: 8 -> 78
238. first: 2, last: 3 -> 23
239. first: 4, last: 4 -> 44
240. first: 5, last: 8 -> 58
241. first: 2, last: 2 -> 22
242. first: 8, last: 4 -> 84
243. first: 3, last: 3 -> 33
244. first: 2, last: 2 -> 22
245. first: 5, last: 2 -> 52
246. first: 7, last: 7 -> 77
247. first: 8, last: 8 -> 88
248. first: 3, last: 4 -> 34
249. first: 8, last: 7 -> 87
250. first: 1, last: 3 -> 13
251. first: 3, last: 8 -> 38
252. first: 4, last: 2 -> 42
253. first: 8, last: 8 -> 88
254. first: 4, last: 8 -> 48
255. first: 5, last: 5 -> 55
256. first: 1, last: 8 -> 18
257. first: 7, last: 7 -> 77
258. first: 3, last: 3 -> 33
259. first: 5, last: 7 -> 57
260. first: 8, last: 5 -> 85
261. first: 6, last: 6 -> 66
262. first: 2, last: 3 -> 23
263. first: 5, last: 5 -> 55
264. first: 1, last: 3 -> 13
265. first: 6, last: 7 -> 67
266. first: 2, last: 3 -> 23
267. first: 7, last: 9 -> 79
268. first: 6, last: 6 -> 66
269. first: 6, last: 6 -> 66
270. first: 9, last: 9 -> 99
271. first: 7, last: 1 -> 71
272. first: 6, last: 4 -> 64
273. first: 1, last: 6 -> 16
274. first: 8, last: 4 -> 84
275. first: 6, last: 7 -> 67
276. first: 6, last: 4 -> 64
277. first: 1, last: 1 -> 11
278. first: 6, last: 6 -> 66
279. first: 5, last: 6 -> 56
280. first: 7, last: 8 -> 78
281. first: 7, last: 7 -> 77
282. first: 3, last: 3 -> 33
283. first: 8, last: 3 -> 83
284. first: 6, last: 7 -> 67
285. first: 7, last: 7 -> 77
286. first: 1, last: 9 -> 19
287. first: 1, last: 1 -> 11
288. first: 3, last: 8 -> 38
289. first: 7, last: 6 -> 76
290. first: 3, last: 3 -> 33
291. first: 6, last: 6 -> 66
292. first: 7, last: 4 -> 74
293. first: 5, last: 7 -> 57
294. first: 1, last: 3 -> 13
295. first: 1, last: 1 -> 11
296. first: 2, last: 3 -> 23
297. first: 4, last: 5 -> 45
298. first: 6, last: 4 -> 64
299. first: 6, last: 6 -> 66
300. first: 6, last: 8 -> 68
301. first: 6, last: 2 -> 62
302. first: 5, last: 5 -> 55
303. first: 4, last: 4 -> 44
304. first: 1, last: 1 -> 11
305. first: 7, last: 3 -> 73
306. first: 4, last: 8 -> 48
307. first: 3, last: 7 -> 37
308. first: 5, last: 9 -> 59
309. first: 5, last: 6 -> 56
310. first: 5, last: 4 -> 54
311. first: 4, last: 5 -> 45
312. first: 8, last: 8 -> 88
313. first: 8, last: 4 -> 84
314. first: 6, last: 6 -> 66
315. first: 3, last: 3 -> 33
316. first: 1, last: 7 -> 17
317. first: 9, last: 9 -> 99
318. first: 7, last: 7 -> 77
319. first: 8, last: 8 -> 88
320. first: 4, last: 6 -> 46
321. first: 3, last: 3 -> 33
322. first: 6, last: 3 -> 63
323. first: 1, last: 1 -> 11
324. first: 2, last: 2 -> 22
325. first: 2, last: 7 -> 27
326. first: 9, last: 9 -> 99
327. first: 5, last: 7 -> 57
328. first: 3, last: 8 -> 38
329. first: 2, last: 2 -> 22
330. first: 1, last: 8 -> 18
331. first: 8, last: 4 -> 84
332. first: 7, last: 7 -> 77
333. first: 5, last: 4 -> 54
334. first: 8, last: 8 -> 88
335. first: 8, last: 8 -> 88
336. first: 8, last: 9 -> 89
337. first: 4, last: 3 -> 43
338. first: 2, last: 3 -> 23
339. first: 5, last: 5 -> 55
340. first: 4, last: 4 -> 44
341. first: 7, last: 7 -> 77
342. first: 1, last: 4 -> 14
343. first: 1, last: 6 -> 16
344. first: 9, last: 9 -> 99
345. first: 2, last: 2 -> 22
346. first: 1, last: 8 -> 18
347. first: 6, last: 9 -> 69
348. first: 5, last: 6 -> 56
349. first: 3, last: 7 -> 37
350. first: 2, last: 1 -> 21
351. first: 3, last: 6 -> 36
352. first: 6, last: 2 -> 62
353. first: 7, last: 8 -> 78
354. first: 5, last: 5 -> 55
355. first: 3, last: 9 -> 39
356. first: 8, last: 6 -> 86
357. first: 7, last: 4 -> 74
358. first: 8, last: 8 -> 88
359. first: 4, last: 8 -> 48
360. first: 3, last: 3 -> 33
361. first: 5, last: 5 -> 55
362. first: 5, last: 5 -> 55
363. first: 5, last: 5 -> 55
364. first: 5, last: 4 -> 54
365. first: 5, last: 2 -> 52
366. first: 4, last: 7 -> 47
367. first: 3, last: 7 -> 37
368. first: 7, last: 2 -> 72
369. first: 7, last: 6 -> 76
370. first: 9, last: 6 -> 96
371. first: 8, last: 8 -> 88
372. first: 2, last: 6 -> 26
373. first: 1, last: 5 -> 15
374. first: 7, last: 9 -> 79
375. first: 8, last: 4 -> 84
376. first: 6, last: 6 -> 66
377. first: 2, last: 7 -> 27
378. first: 7, last: 7 -> 77
379. first: 7, last: 2 -> 72
380. first: 4, last: 2 -> 42
381. first: 9, last: 7 -> 97
382. first: 6, last: 7 -> 67
383. first: 8, last: 8 -> 88
384. first: 9, last: 9 -> 99
385. first: 9, last: 3 -> 93
386. first: 9, last: 4 -> 94
387. first: 6, last: 7 -> 67
388. first: 6, last: 8 -> 68
389. first: 3, last: 5 -> 35
390. first: 1, last: 1 -> 11
391. first: 5, last: 1 -> 51
392. first: 5, last: 7 -> 57
393. first: 7, last: 7 -> 77
394. first: 8, last: 2 -> 82
395. first: 6, last: 4 -> 64
396. first: 3, last: 3 -> 33
397. first: 1, last: 3 -> 13
398. first: 7, last: 7 -> 77
399. first: 2, last: 6 -> 26
400. first: 5, last: 1 -> 51
401. first: 9, last: 5 -> 95
402. first: 8, last: 8 -> 88
403. first: 6, last: 7 -> 67
404. first: 1, last: 2 -> 12
405. first: 5, last: 5 -> 55
406. first: 5, last: 5 -> 55
407. first: 8, last: 4 -> 84
408. first: 7, last: 6 -> 76
409. first: 9, last: 2 -> 92
410. first: 2, last: 2 -> 22
411. first: 1, last: 1 -> 11
412. first: 8, last: 2 -> 82
413. first: 4, last: 4 -> 44
414. first: 8, last: 8 -> 88
415. first: 3, last: 3 -> 33
416. first: 2, last: 4 -> 24
417. first: 3, last: 5 -> 35
418. first: 8, last: 8 -> 88
419. first: 9, last: 4 -> 94
420. first: 6, last: 4 -> 64
421. first: 9, last: 9 -> 99
422. first: 4, last: 4 -> 44
423. first: 4, last: 7 -> 47
424. first: 4, last: 8 -> 48
425. first: 8, last: 3 -> 83
426. first: 4, last: 6 -> 46
427. first: 2, last: 9 -> 29
428. first: 2, last: 2 -> 22
429. first: 2, last: 4 -> 24
430. first: 4, last: 4 -> 44
431. first: 4, last: 6 -> 46
432. first: 3, last: 3 -> 33
433. first: 6, last: 1 -> 61
434. first: 7, last: 4 -> 74
435. first: 8, last: 1 -> 81
436. first: 4, last: 3 -> 43
437. first: 4, last: 7 -> 47
438. first: 2, last: 4 -> 24
439. first: 9, last: 9 -> 99
440. first: 9, last: 2 -> 92
441. first: 3, last: 6 -> 36
442. first: 9, last: 2 -> 92
443. first: 3, last: 3 -> 33
444. first: 4, last: 5 -> 45
445. first: 8, last: 8 -> 88
446. first: 2, last: 2 -> 22
447. first: 3, last: 3 -> 33
448. first: 4, last: 6 -> 46
449. first: 9, last: 2 -> 92
450. first: 9, last: 9 -> 99
451. first: 3, last: 3 -> 33
452. first: 2, last: 2 -> 22
453. first: 7, last: 7 -> 77
454. first: 3, last: 8 -> 38
455. first: 1, last: 1 -> 11
456. first: 8, last: 8 -> 88
457. first: 7, last: 7 -> 77
458. first: 5, last: 2 -> 52
459. first: 5, last: 5 -> 55
460. first: 4, last: 8 -> 48
461. first: 6, last: 2 -> 62
462. first: 5, last: 5 -> 55
463. first: 2, last: 2 -> 22
464. first: 5, last: 5 -> 55
465. first: 8, last: 4 -> 84
466. first: 2, last: 2 -> 22
467. first: 8, last: 5 -> 85
468. first: 7, last: 2 -> 72
469. first: 6, last: 6 -> 66
470. first: 1, last: 1 -> 11
471. first: 7, last: 2 -> 72
472. first: 5, last: 4 -> 54
473. first: 4, last: 1 -> 41
474. first: 2, last: 7 -> 27
475. first: 9, last: 9 -> 99
476. first: 8, last: 8 -> 88
477. first: 5, last: 7 -> 57
478. first: 3, last: 8 -> 38
479. first: 2, last: 1 -> 21
480. first: 3, last: 4 -> 34
481. first: 9, last: 9 -> 99
482. first: 6, last: 9 -> 69
483. first: 3, last: 8 -> 38
484. first: 4, last: 8 -> 48
485. first: 7, last: 7 -> 77
486. first: 8, last: 6 -> 86
487. first: 6, last: 6 -> 66
488. first: 2, last: 2 -> 22
489. first: 6, last: 6 -> 66
490. first: 1, last: 1 -> 11
491. first: 8, last: 7 -> 87
492. first: 4, last: 6 -> 46
493. first: 3, last: 6 -> 36
494. first: 8, last: 8 -> 88
495. first: 7, last: 7 -> 77
496. first: 2, last: 2 -> 22
497. first: 2, last: 3 -> 23
498. first: 3, last: 3 -> 33
499. first: 8, last: 4 -> 84
500. first: 5, last: 6 -> 56
501. first: 3, last: 3 -> 33
502. first: 3, last: 2 -> 32
503. first: 7, last: 2 -> 72
504. first: 5, last: 5 -> 55
505. first: 4, last: 2 -> 42
506. first: 9, last: 9 -> 99
507. first: 3, last: 5 -> 35
508. first: 7, last: 7 -> 77
509. first: 3, last: 8 -> 38
510. first: 2, last: 2 -> 22
511. first: 4, last: 7 -> 47
512. first: 9, last: 7 -> 97
513. first: 7, last: 3 -> 73
514. first: 4, last: 4 -> 44
515. first: 2, last: 4 -> 24
516. first: 3, last: 2 -> 32
517. first: 8, last: 1 -> 81
518. first: 3, last: 3 -> 33
519. first: 1, last: 7 -> 17
520. first: 8, last: 8 -> 88
521. first: 9, last: 9 -> 99
522. first: 1, last: 9 -> 19
523. first: 8, last: 6 -> 86
524. first: 9, last: 9 -> 99
525. first: 9, last: 9 -> 99
526. first: 6, last: 6 -> 66
527. first: 8, last: 8 -> 88
528. first: 2, last: 8 -> 28
529. first: 7, last: 9 -> 79
530. first: 6, last: 2 -> 62
531. first: 9, last: 7 -> 97
532. first: 3, last: 3 -> 33
533. first: 9, last: 1 -> 91
534. first: 7, last: 5 -> 75
535. first: 9, last: 9 -> 99
536. first: 6, last: 8 -> 68
537. first: 2, last: 2 -> 22
538. first: 7, last: 4 -> 74
539. first: 8, last: 2 -> 82
540. first: 9, last: 8 -> 98
541. first: 6, last: 6 -> 66
542. first: 8, last: 2 -> 82
543. first: 5, last: 4 -> 54
544. first: 5, last: 7 -> 57
545. first: 2, last: 3 -> 23
546. first: 7, last: 2 -> 72
547. first: 7, last: 7 -> 77
548. first: 1, last: 4 -> 14
549. first: 7, last: 7 -> 77
550. first: 4, last: 1 -> 41
551. first: 8, last: 3 -> 83
552. first: 5, last: 8 -> 58
553. first: 6, last: 1 -> 61
554. first: 7, last: 7 -> 77
555. first: 4, last: 1 -> 41
556. first: 2, last: 2 -> 22
557. first: 8, last: 8 -> 88
558. first: 5, last: 7 -> 57
559. first: 5, last: 3 -> 53
560. first: 4, last: 4 -> 44
561. first: 9, last: 8 -> 98
562. first: 2, last: 2 -> 22
563. first: 7, last: 2 -> 72
564. first: 7, last: 4 -> 74
565. first: 5, last: 8 -> 58
566. first: 8, last: 7 -> 87
567. first: 1, last: 5 -> 15
568. first: 2, last: 3 -> 23
569. first: 6, last: 6 -> 66
570. first: 4, last: 9 -> 49
571. first: 3, last: 3 -> 33
572. first: 5, last: 5 -> 55
573. first: 4, last: 5 -> 45
574. first: 6, last: 8 -> 68
575. first: 7, last: 9 -> 79
576. first: 3, last: 8 -> 38
577. first: 3, last: 3 -> 33
578. first: 6, last: 4 -> 64
579. first: 9, last: 8 -> 98
580. first: 3, last: 5 -> 35
581. first: 9, last: 7 -> 97
582. first: 3, last: 4 -> 34
583. first: 7, last: 9 -> 79
584. first: 2, last: 2 -> 22
585. first: 1, last: 1 -> 11
586. first: 7, last: 7 -> 77
587. first: 3, last: 3 -> 33
588. first: 4, last: 3 -> 43
589. first: 7, last: 3 -> 73
590. first: 6, last: 9 -> 69
591. first: 4, last: 2 -> 42
592. first: 6, last: 2 -> 62
593. first: 8, last: 1 -> 81
594. first: 4, last: 8 -> 48
595. first: 9, last: 9 -> 99
596. first: 1, last: 1 -> 11
597. first: 6, last: 9 -> 69
598. first: 9, last: 2 -> 92
599. first: 9, last: 3 -> 93
600. first: 7, last: 8 -> 78
601. first: 3, last: 7 -> 37
602. first: 7, last: 5 -> 75
603. first: 1, last: 1 -> 11
604. first: 8, last: 3 -> 83
605. first: 3, last: 3 -> 33
606. first: 2, last: 5 -> 25
607. first: 3, last: 8 -> 38
608. first: 4, last: 9 -> 49
609. first: 3, last: 3 -> 33
610. first: 5, last: 4 -> 54
611. first: 8, last: 8 -> 88
612. first: 3, last: 5 -> 35
613. first: 9, last: 9 -> 99
614. first: 3, last: 7 -> 37
615. first: 9, last: 4 -> 94
616. first: 2, last: 1 -> 21
617. first: 2, last: 2 -> 22
618. first: 4, last: 4 -> 44
619. first: 4, last: 1 -> 41
620. first: 7, last: 7 -> 77
621. first: 7, last: 4 -> 74
622. first: 3, last: 3 -> 33
623. first: 7, last: 7 -> 77
624. first: 6, last: 9 -> 69
625. first: 6, last: 9 -> 69
626. first: 2, last: 2 -> 22
627. first: 5, last: 1 -> 51
628. first: 9, last: 8 -> 98
629. first: 1, last: 7 -> 17
630. first: 5, last: 7 -> 57
631. first: 6, last: 9 -> 69
632. first: 8, last: 8 -> 88
633. first: 7, last: 9 -> 79
634. first: 8, last: 4 -> 84
635. first: 9, last: 5 -> 95
636. first: 7, last: 7 -> 77
637. first: 4, last: 4 -> 44
638. first: 8, last: 8 -> 88
639. first: 1, last: 1 -> 11
640. first: 3, last: 3 -> 33
641. first: 8, last: 8 -> 88
642. first: 6, last: 2 -> 62
643. first: 7, last: 4 -> 74
644. first: 5, last: 5 -> 55
645. first: 1, last: 1 -> 11
646. first: 9, last: 9 -> 99
647. first: 3, last: 3 -> 33
648. first: 4, last: 4 -> 44
649. first: 9, last: 9 -> 99
650. first: 9, last: 6 -> 96
651. first: 2, last: 7 -> 27
652. first: 1, last: 1 -> 11
653. first: 2, last: 3 -> 23
654. first: 5, last: 5 -> 55
655. first: 6, last: 5 -> 65
656. first: 4, last: 4 -> 44
657. first: 5, last: 7 -> 57
658. first: 4, last: 5 -> 45
659. first: 2, last: 8 -> 28
660. first: 3, last: 1 -> 31
661. first: 1, last: 5 -> 15
662. first: 7, last: 3 -> 73
663. first: 9, last: 9 -> 99
664. first: 2, last: 8 -> 28
665. first: 2, last: 1 -> 21
666. first: 1, last: 1 -> 11
667. first: 2, last: 7 -> 27
668. first: 7, last: 7 -> 77
669. first: 2, last: 5 -> 25
670. first: 3, last: 8 -> 38
671. first: 3, last: 3 -> 33
672. first: 3, last: 3 -> 33
673. first: 6, last: 6 -> 66
674. first: 7, last: 2 -> 72
675. first: 4, last: 4 -> 44
676. first: 3, last: 1 -> 31
677. first: 9, last: 8 -> 98
678. first: 1, last: 1 -> 11
679. first: 7, last: 7 -> 77
680. first: 8, last: 1 -> 81
681. first: 2, last: 7 -> 27
682. first: 4, last: 3 -> 43
683. first: 7, last: 7 -> 77
684. first: 2, last: 2 -> 22
685. first: 9, last: 6 -> 96
686. first: 3, last: 3 -> 33
687. first: 5, last: 4 -> 54
688. first: 4, last: 2 -> 42
689. first: 4, last: 4 -> 44
690. first: 1, last: 3 -> 13
691. first: 7, last: 4 -> 74
692. first: 9, last: 1 -> 91
693. first: 6, last: 6 -> 66
694. first: 5, last: 7 -> 57
695. first: 1, last: 9 -> 19
696. first: 6, last: 2 -> 62
697. first: 8, last: 8 -> 88
698. first: 8, last: 8 -> 88
699. first: 4, last: 8 -> 48
700. first: 9, last: 6 -> 96
701. first: 2, last: 4 -> 24
702. first: 2, last: 7 -> 27
703. first: 6, last: 9 -> 69
704. first: 9, last: 8 -> 98
705. first: 2, last: 2 -> 22
706. first: 5, last: 7 -> 57
707. first: 9, last: 9 -> 99
708. first: 9, last: 4 -> 94
709. first: 9, last: 6 -> 96
710. first: 8, last: 2 -> 82
711. first: 1, last: 3 -> 13
712. first: 4, last: 1 -> 41
713. first: 2, last: 2 -> 22
714. first: 3, last: 1 -> 31
715. first: 2, last: 2 -> 22
716. first: 8, last: 2 -> 82
717. first: 1, last: 4 -> 14
718. first: 3, last: 3 -> 33
719. first: 5, last: 2 -> 52
720. first: 8, last: 8 -> 88
721. first: 4, last: 5 -> 45
722. first: 8, last: 8 -> 88
723. first: 6, last: 9 -> 69
724. first: 2, last: 1 -> 21
725. first: 7, last: 3 -> 73
726. first: 5, last: 5 -> 55
727. first: 6, last: 4 -> 64
728. first: 2, last: 7 -> 27
729. first: 5, last: 8 -> 58
730. first: 9, last: 2 -> 92
731. first: 3, last: 1 -> 31
732. first: 3, last: 7 -> 37
733. first: 3, last: 1 -> 31
734. first: 6, last: 5 -> 65
735. first: 4, last: 1 -> 41
736. first: 9, last: 7 -> 97
737. first: 7, last: 7 -> 77
738. first: 1, last: 5 -> 15
739. first: 2, last: 2 -> 22
740. first: 4, last: 3 -> 43
741. first: 4, last: 4 -> 44
742. first: 1, last: 1 -> 11
743. first: 6, last: 6 -> 66
744. first: 7, last: 2 -> 72
745. first: 5, last: 4 -> 54
746. first: 8, last: 8 -> 88
747. first: 5, last: 6 -> 56
748. first: 6, last: 5 -> 65
749. first: 6, last: 6 -> 66
750. first: 2, last: 7 -> 27
751. first: 6, last: 3 -> 63
752. first: 4, last: 4 -> 44
753. first: 9, last: 9 -> 99
754. first: 9, last: 4 -> 94
755. first: 2, last: 4 -> 24
756. first: 8, last: 8 -> 88
757. first: 5, last: 9 -> 59
758. first: 6, last: 7 -> 67
759. first: 2, last: 9 -> 29
760. first: 7, last: 7 -> 77
761. first: 3, last: 5 -> 35
762. first: 9, last: 9 -> 99
763. first: 2, last: 3 -> 23
764. first: 7, last: 7 -> 77
765. first: 2, last: 1 -> 21
766. first: 8, last: 1 -> 81
767. first: 1, last: 5 -> 15
768. first: 7, last: 2 -> 72
769. first: 3, last: 9 -> 39
770. first: 5, last: 8 -> 58
771. first: 4, last: 3 -> 43
772. first: 4, last: 2 -> 42
773. first: 4, last: 4 -> 44
774. first: 5, last: 5 -> 55
775. first: 1, last: 8 -> 18
776. first: 1, last: 1 -> 11
777. first: 9, last: 8 -> 98
778. first: 2, last: 2 -> 22
779. first: 4, last: 4 -> 44
780. first: 9, last: 9 -> 99
781. first: 5, last: 6 -> 56
782. first: 3, last: 3 -> 33
783. first: 8, last: 8 -> 88
784. first: 2, last: 3 -> 23
785. first: 6, last: 5 -> 65
786. first: 2, last: 2 -> 22
787. first: 2, last: 2 -> 22
788. first: 9, last: 9 -> 99
789. first: 7, last: 7 -> 77
790. first: 7, last: 7 -> 77
791. first: 3, last: 9 -> 39
792. first: 4, last: 4 -> 44
793. first: 3, last: 1 -> 31
794. first: 7, last: 7 -> 77
795. first: 5, last: 6 -> 56
796. first: 7, last: 7 -> 77
797. first: 8, last: 1 -> 81
798. first: 4, last: 9 -> 49
799. first: 7, last: 4 -> 74
800. first: 8, last: 8 -> 88
801. first: 3, last: 3 -> 33
802. first: 2, last: 6 -> 26
803. first: 3, last: 4 -> 34
804. first: 9, last: 5 -> 95
805. first: 4, last: 4 -> 44
806. first: 6, last: 2 -> 62
807. first: 5, last: 4 -> 54
808. first: 6, last: 1 -> 61
809. first: 9, last: 9 -> 99
810. first: 4, last: 4 -> 44
811. first: 1, last: 3 -> 13
812. first: 4, last: 4 -> 44
813. first: 6, last: 6 -> 66
814. first: 2, last: 2 -> 22
815. first: 6, last: 7 -> 67
816. first: 2, last: 2 -> 22
817. first: 2, last: 2 -> 22
818. first: 7, last: 6 -> 76
819. first: 8, last: 1 -> 81
820. first: 2, last: 9 -> 29
821. first: 9, last: 5 -> 95
822. first: 8, last: 1 -> 81
