1. first: 2, last: 1 -> 21
437. first: 2, last: 7 -> 27
438. first: 2, last: 7 -> 27
439. first: 8, last: 1 -> 81
440. first: 9, last: 2 -> 92
441. first: 3, last: 6 -> 36
442. first: 9, last: 2 -> 92
443. first: 1, last: 3 -> 13
444. first: 6, last: 5 -> 65
445. first: 8, last: 8 -> 88
446. first: 4, last: 2 -> 42
447. first: 3, last: 8 -> 38
448. first: 4, last: 6 -> 46
449. first: 2, last: 5 -> 25
450. first: 3, last: 3 -> 33
451. first: 9, last: 4 -> 94
452. first: 2, last: 2 -> 22
453. first: 2, last: 7 -> 27
454. first: 3, last: 8 -> 38
455. first: 6, last: 6 -> 66
456. first: 4, last: 8 -> 48
457. first: 7, last: 7 -> 77
458. first: 3, last: 2 -> 32
459. first: 5, last: 5 -> 55
460. first: 4, last: 8 -> 48
461. first: 9, last: 2 -> 92
462. first: 1, last: 6 -> 16
463. first: 2, last: 2 -> 22
464. first: 3, last: 6 -> 36
465. first: 8, last: 4 -> 84
466. first: 7, last: 2 -> 72
467. first: 7, last: 5 -> 75
468. first: 2, last: 2 -> 22
469. first: 1, last: 5 -> 15
470. first: 1, last: 1 -> 11
471. first: 7, last: 7 -> 77
472. first: 5, last: 4 -> 54
473. first: 4, last: 1 -> 41
474. first: 2, last: 2 -> 22
475. first: 4, last: 4 -> 44
476. first: 8, last: 8 -> 88
477. first: 5, last: 6 -> 56
478. first: 3, last: 7 -> 37
479. first: 5, last: 6 -> 56
480. first: 3, last: 4 -> 34
481. first: 7, last: 9 -> 79
482. first: 7, last: 9 -> 79
483. first: 3, last: 7 -> 37
484. first: 6, last: 8 -> 68
485. first: 7, last: 6 -> 76
486. first: 8, last: 6 -> 86
487. first: 6, last: 3 -> 63
488. first: 2, last: 2 -> 22
489. first: 7, last: 6 -> 76
490. first: 1, last: 9 -> 19
491. first: 8, last: 7 -> 87
492. first: 4, last: 3 -> 43
493. first: 3, last: 5 -> 35
494. first: 8, last: 8 -> 88
495. first: 2, last: 7 -> 27
496. first: 2, last: 2 -> 22
497. first: 2, last: 3 -> 23
498. first: 8, last: 2 -> 82
499. first: 9, last: 4 -> 94
500. first: 6, last: 2 -> 62
501. first: 5, last: 4 -> 54
502. first: 4, last: 2 -> 42
503. first: 7, last: 2 -> 72
504. first: 4, last: 5 -> 45
505. first: 4, last: 2 -> 42
506. first: 9, last: 8 -> 98
507. first: 3, last: 5 -> 35
508. first: 1, last: 8 -> 18
509. first: 3, last: 8 -> 38
510. first: 4, last: 2 -> 42
511. first: 7, last: 7 -> 77
512. first: 9, last: 7 -> 97
513. first: 7, last: 3 -> 73
514. first: 4, last: 4 -> 44
515. first: 2, last: 6 -> 26
516. first: 6, last: 2 -> 62
517. first: 8, last: 2 -> 82
518. first: 3, last: 3 -> 33
519. first: 1, last: 8 -> 18
520. first: 8, last: 9 -> 89
521. first: 1, last: 9 -> 19
522. first: 1, last: 9 -> 19
523. first: 8, last: 6 -> 86
524. first: 8, last: 6 -> 86
525. first: 5, last: 9 -> 59
526. first: 6, last: 1 -> 61
527. first: 5, last: 8 -> 58
528. first: 2, last: 8 -> 28
529. first: 5, last: 9 -> 59
530. first: 6, last: 2 -> 62
531. first: 9, last: 7 -> 97
532. first: 7, last: 9 -> 79
533. first: 7, last: 4 -> 74
534. first: 7, last: 9 -> 79
535. first: 9, last: 9 -> 99
536. first: 5, last: 8 -> 58
537. first: 4, last: 5 -> 45
538. first: 7, last: 4 -> 74
539. first: 8, last: 2 -> 82
540. first: 2, last: 8 -> 28
541. first: 6, last: 9 -> 69
542. first: 8, last: 6 -> 86
543. first: 8, last: 4 -> 84
544. first: 5, last: 7 -> 57
545. first: 2, last: 3 -> 23
546. first: 7, last: 2 -> 72
547. first: 6, last: 7 -> 67
548. first: 1, last: 9 -> 19
549. first: 7, last: 7 -> 77
550. first: 4, last: 1 -> 41
551. first: 8, last: 3 -> 83
552. first: 5, last: 8 -> 58
553. first: 6, last: 1 -> 61
554. first: 4, last: 9 -> 49
555. first: 8, last: 1 -> 81
556. first: 2, last: 4 -> 24
557. first: 8, last: 8 -> 88
558. first: 9, last: 7 -> 97
559. first: 9, last: 3 -> 93
560. first: 4, last: 4 -> 44
561. first: 6, last: 1 -> 61
562. first: 3, last: 8 -> 38
563. first: 7, last: 2 -> 72
564. first: 7, last: 1 -> 71
565. first: 5, last: 8 -> 58
566. first: 8, last: 7 -> 87
567. first: 8, last: 2 -> 82
568. first: 2, last: 3 -> 23
569. first: 6, last: 6 -> 66
570. first: 4, last: 9 -> 49
571. first: 7, last: 9 -> 79
572. first: 5, last: 5 -> 55
573. first: 4, last: 2 -> 42
574. first: 6, last: 8 -> 68
575. first: 7, last: 9 -> 79
576. first: 3, last: 8 -> 38
577. first: 3, last: 3 -> 33
578. first: 6, last: 4 -> 64
579. first: 9, last: 2 -> 92
580. first: 3, last: 5 -> 35
581. first: 9, last: 3 -> 93
582. first: 3, last: 4 -> 34
583. first: 2, last: 9 -> 29
584. first: 2, last: 2 -> 22
585. first: 1, last: 1 -> 11
586. first: 6, last: 1 -> 61
587. first: 3, last: 9 -> 39
588. first: 7, last: 3 -> 73
589. first: 7, last: 3 -> 73
590. first: 6, last: 9 -> 69
591. first: 4, last: 2 -> 42
592. first: 6, last: 2 -> 62
593. first: 8, last: 9 -> 89
594. first: 4, last: 8 -> 48
595. first: 1, last: 3 -> 13
596. first: 1, last: 1 -> 11
597. first: 1, last: 9 -> 19
598. first: 9, last: 2 -> 92
599. first: 9, last: 3 -> 93
600. first: 7, last: 1 -> 71
601. first: 3, last: 7 -> 37
602. first: 7, last: 6 -> 76
603. first: 5, last: 1 -> 51
604. first: 8, last: 3 -> 83
605. first: 3, last: 3 -> 33
606. first: 2, last: 5 -> 25
607. first: 8, last: 8 -> 88
608. first: 7, last: 9 -> 79
609. first: 3, last: 7 -> 37
610. first: 5, last: 4 -> 54
611. first: 7, last: 8 -> 78
612. first: 3, last: 5 -> 35
613. first: 3, last: 6 -> 36
614. first: 3, last: 7 -> 37
615. first: 9, last: 4 -> 94
616. first: 2, last: 1 -> 21
617. first: 8, last: 4 -> 84
618. first: 6, last: 4 -> 64
619. first: 4, last: 1 -> 41
620. first: 7, last: 7 -> 77
621. first: 2, last: 1 -> 21
622. first: 2, last: 9 -> 29
623. first: 8, last: 3 -> 83
624. first: 6, last: 9 -> 69
625. first: 6, last: 9 -> 69
626. first: 2, last: 3 -> 23
627. first: 5, last: 1 -> 51
628. first: 7, last: 7 -> 77
629. first: 1, last: 5 -> 15
630. first: 5, last: 5 -> 55
631. first: 6, last: 9 -> 69
632. first: 2, last: 8 -> 28
633. first: 7, last: 9 -> 79
634. first: 8, last: 9 -> 89
635. first: 3, last: 6 -> 36
636. first: 7, last: 9 -> 79
637. first: 4, last: 3 -> 43
638. first: 8, last: 8 -> 88
639. first: 1, last: 5 -> 15
640. first: 3, last: 3 -> 33
641. first: 4, last: 8 -> 48
642. first: 6, last: 6 -> 66
643. first: 2, last: 4 -> 24
644. first: 5, last: 7 -> 57
645. first: 9, last: 1 -> 91
646. first: 1, last: 9 -> 19
647. first: 3, last: 3 -> 33
648. first: 2, last: 4 -> 24
649. first: 9, last: 9 -> 99
650. first: 9, last: 6 -> 96
651. first: 2, last: 7 -> 27
652. first: 1, last: 5 -> 15
653. first: 2, last: 3 -> 23
654. first: 4, last: 5 -> 45
655. first: 6, last: 1 -> 61
656. first: 5, last: 4 -> 54
657. first: 4, last: 7 -> 47
658. first: 4, last: 5 -> 45
659. first: 6, last: 8 -> 68
660. first: 3, last: 1 -> 31
661. first: 1, last: 4 -> 14
662. first: 1, last: 3 -> 13
663. first: 6, last: 9 -> 69
664. first: 2, last: 8 -> 28
665. first: 2, last: 1 -> 21
666. first: 1, last: 6 -> 16
667. first: 2, last: 7 -> 27
668. first: 7, last: 1 -> 71
669. first: 2, last: 6 -> 26
670. first: 3, last: 8 -> 38
671. first: 3, last: 4 -> 34
672. first: 6, last: 3 -> 63
673. first: 7, last: 6 -> 76
674. first: 5, last: 2 -> 52
675. first: 4, last: 4 -> 44
676. first: 5, last: 1 -> 51
677. first: 9, last: 8 -> 98
678. first: 1, last: 1 -> 11
679. first: 7, last: 1 -> 71
680. first: 9, last: 2 -> 92
681. first: 2, last: 7 -> 27
682. first: 4, last: 3 -> 43
683. first: 7, last: 7 -> 77
684. first: 6, last: 8 -> 68
685. first: 9, last: 6 -> 96
686. first: 3, last: 3 -> 33
687. first: 2, last: 2 -> 22
688. first: 9, last: 8 -> 98
689. first: 8, last: 2 -> 82
690. first: 1, last: 8 -> 18
691. first: 7, last: 9 -> 79
692. first: 2, last: 4 -> 24
693. first: 6, last: 5 -> 65
694. first: 5, last: 5 -> 55
695. first: 1, last: 9 -> 19
696. first: 1, last: 6 -> 16
697. first: 8, last: 8 -> 88
698. first: 8, last: 8 -> 88
699. first: 3, last: 8 -> 38
700. first: 9, last: 6 -> 96
701. first: 2, last: 8 -> 28
702. first: 2, last: 7 -> 27
703. first: 6, last: 6 -> 66
704. first: 2, last: 8 -> 28
705. first: 2, last: 8 -> 28
706. first: 5, last: 7 -> 57
707. first: 7, last: 9 -> 79
708. first: 9, last: 5 -> 95
709. first: 8, last: 6 -> 86
710. first: 8, last: 2 -> 82
711. first: 1, last: 8 -> 18
712. first: 4, last: 1 -> 41
713. first: 3, last: 9 -> 39
714. first: 3, last: 1 -> 31
715. first: 6, last: 2 -> 62
716. first: 8, last: 2 -> 82
717. first: 1, last: 8 -> 18
718. first: 3, last: 9 -> 39
719. first: 6, last: 2 -> 62
720. first: 7, last: 8 -> 78
721. first: 1, last: 5 -> 15
722. first: 6, last: 8 -> 68
723. first: 6, last: 9 -> 69
724. first: 8, last: 1 -> 81
725. first: 8, last: 3 -> 83
726. first: 9, last: 8 -> 98
727. first: 5, last: 5 -> 55
728. first: 9, last: 7 -> 97
729. first: 5, last: 5 -> 55
730. first: 9, last: 2 -> 92
731. first: 3, last: 1 -> 31
732. first: 3, last: 7 -> 37
733. first: 3, last: 1 -> 31
734. first: 6, last: 5 -> 65
735. first: 4, last: 1 -> 41
736. first: 9, last: 5 -> 95
737. first: 2, last: 7 -> 27
738. first: 1, last: 8 -> 18
739. first: 2, last: 8 -> 28
740. first: 4, last: 3 -> 43
741. first: 5, last: 1 -> 51
742. first: 1, last: 4 -> 14
743. first: 6, last: 6 -> 66
744. first: 8, last: 2 -> 82
745. first: 6, last: 4 -> 64
746. first: 5, last: 8 -> 58
747. first: 6, last: 6 -> 66
748. first: 6, last: 5 -> 65
749. first: 6, last: 8 -> 68
750. first: 3, last: 2 -> 32
751. first: 4, last: 3 -> 43
752. first: 6, last: 4 -> 64
753. first: 9, last: 8 -> 98
754. first: 2, last: 4 -> 24
755. first: 2, last: 4 -> 24
756. first: 2, last: 7 -> 27
757. first: 5, last: 2 -> 52
758. first: 6, last: 8 -> 68
759. first: 5, last: 2 -> 52
760. first: 7, last: 8 -> 78
761. first: 3, last: 5 -> 35
762. first: 9, last: 5 -> 95
763. first: 8, last: 3 -> 83
764. first: 4, last: 3 -> 43
765. first: 9, last: 1 -> 91
766. first: 9, last: 3 -> 93
767. first: 2, last: 9 -> 29
768. first: 7, last: 9 -> 79
769. first: 3, last: 9 -> 39
770. first: 5, last: 4 -> 54
771. first: 4, last: 3 -> 43
772. first: 4, last: 2 -> 42
773. first: 4, last: 1 -> 41
774. first: 5, last: 5 -> 55
775. first: 7, last: 8 -> 78
776. first: 3, last: 3 -> 33
777. first: 8, last: 8 -> 88
778. first: 8, last: 2 -> 82
779. first: 4, last: 4 -> 44
780. first: 9, last: 7 -> 97
781. first: 5, last: 6 -> 56
782. first: 3, last: 2 -> 32
783. first: 8, last: 8 -> 88
784. first: 2, last: 3 -> 23
785. first: 6, last: 5 -> 65
786. first: 8, last: 3 -> 83
787. first: 3, last: 2 -> 32
788. first: 1, last: 9 -> 19
789. first: 7, last: 7 -> 77
790. first: 7, last: 8 -> 78
791. first: 3, last: 3 -> 33
792. first: 6, last: 4 -> 64
793. first: 3, last: 1 -> 31
794. first: 7, last: 7 -> 77
795. first: 5, last: 2 -> 52
796. first: 6, last: 9 -> 69
797. first: 8, last: 1 -> 81
798. first: 4, last: 5 -> 45
799. first: 7, last: 4 -> 74
800. first: 8, last: 3 -> 83
801. first: 3, last: 3 -> 33
802. first: 2, last: 4 -> 24
803. first: 2, last: 4 -> 24
804. first: 4, last: 5 -> 45
805. first: 4, last: 4 -> 44
806. first: 9, last: 4 -> 94
807. first: 7, last: 4 -> 74
808. first: 6, last: 1 -> 61
809. first: 5, last: 2 -> 52
810. first: 9, last: 7 -> 97
811. first: 1, last: 3 -> 13
812. first: 4, last: 9 -> 49
813. first: 1, last: 6 -> 16
814. first: 2, last: 3 -> 23
815. first: 6, last: 7 -> 67
816. first: 4, last: 2 -> 42
817. first: 9, last: 7 -> 97
818. first: 8, last: 7 -> 87
819. first: 8, last: 1 -> 81
820. first: 2, last: 1 -> 21
821. first: 6, last: 8 -> 68
822. first: 8, last: 1 -> 81
